epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36459,0.56209,3.22784,0.91882,0.01068,0.97778,0.44112,0.415,0.34753,2.90022,0.80827,8.574e-05,8.574e-05,8.574e-05
2,5.03136,0.47305,2.35917,0.86151,0.01041,1,0.56128,0.51305,0.3506,2.59505,0.79013,0.00017964,0.00017964,0.00017964
3,6.65689,0.46411,1.49906,0.86884,1,0.13184,0.70641,0.64399,0.41603,2.33411,0.79948,0.000266937,0.000266937,0.000266937
4,8.22201,0.46145,1.0922,0.85038,0.99227,0.49697,0.93178,0.86898,0.37241,2.05281,0.79215,0.000347633,0.000347633,0.000347633
5,9.7464,0.41465,0.93606,0.85257,0.97679,0.64464,0.93527,0.86027,0.41043,1.68453,0.79853,0.000421726,0.000421726,0.000421726
6,11.0046,0.40546,0.73186,0.82565,0.97108,0.7193,0.97497,0.92511,0.34305,1.59356,0.7904,0.000489218,0.000489218,0.000489218
7,12.498,0.42238,0.73553,0.8397,0.96829,0.95237,0.97609,0.88652,0.40754,1.20737,0.78806,0.000550108,0.000550108,0.000550108
8,13.8818,0.42806,0.70184,0.85215,0.96773,0.96633,0.97716,0.8799,0.39762,1.0949,0.78547,0.000604396,0.000604396,0.000604396
9,15.1779,0.35424,0.65326,0.83439,0.96796,0.8069,0.97688,0.94103,0.28723,1.19731,0.77682,0.000652081,0.000652081,0.000652081
10,16.7076,0.35971,0.64059,0.82634,0.95387,0.96045,0.98057,0.92428,0.33094,1.07124,0.77579,0.000693165,0.000693165,0.000693165
11,20.035,0.35242,0.62642,0.83695,0.97381,0.95198,0.98854,0.93637,0.32868,0.86305,0.76921,0.000727647,0.000727647,0.000727647
12,21.415,0.37322,0.6319,0.83627,0.96865,0.95385,0.98442,0.93577,0.33188,0.92159,0.76949,0.000755527,0.000755527,0.000755527
13,22.7421,0.38485,0.64538,0.82664,0.97458,0.96735,0.98559,0.93759,0.30983,0.93136,0.76643,0.000776804,0.000776804,0.000776804
14,24.0834,0.34155,0.6336,0.83088,0.96782,0.97693,0.98735,0.96749,0.24652,0.80763,0.76342,0.00079148,0.00079148,0.00079148
15,25.6626,0.34896,0.57106,0.82828,0.96292,1,0.98675,0.96892,0.25216,0.69984,0.76114,0.000768802,0.000768802,0.000768802
16,27.2024,0.34895,0.56075,0.81964,0.95678,1,0.99285,0.96934,0.25722,0.70922,0.76114,0.000721645,0.000721645,0.000721645
17,28.672,0.31709,0.56199,0.80825,0.95996,1,0.99253,0.97399,0.26363,0.68581,0.75727,0.000674488,0.000674488,0.000674488
18,30.1514,0.33624,0.53656,0.81764,0.9588,0.99676,0.9922,0.98884,0.21802,0.63081,0.75136,0.000627331,0.000627331,0.000627331
19,31.6434,0.28926,0.58754,0.80625,0.95992,0.99825,0.99005,0.98208,0.22029,0.52816,0.75491,0.000580174,0.000580174,0.000580174
20,33.0321,0.30656,0.51951,0.81531,0.97085,0.99936,0.99253,0.97699,0.20562,0.43238,0.75333,0.000533017,0.000533017,0.000533017
21,35.2186,0.21282,0.59438,0.78615,0.97956,1,0.99253,0.98162,0.19896,0.47836,0.75154,0.00048586,0.00048586,0.00048586
22,36.6075,0.20871,0.63946,0.76159,0.9808,1,0.99177,0.9827,0.20383,0.59649,0.75222,0.000438703,0.000438703,0.000438703
23,37.9766,0.22145,0.61127,0.76741,0.98117,1,0.99038,0.98216,0.19365,0.4619,0.7546,0.000391546,0.000391546,0.000391546
24,39.713,0.21014,0.59801,0.76867,0.98011,0.99972,0.99113,0.98122,0.19481,0.38518,0.75455,0.000344389,0.000344389,0.000344389
25,41.0102,0.20426,0.53486,0.76202,0.97909,0.99952,0.99005,0.98004,0.19211,0.38002,0.75372,0.000297232,0.000297232,0.000297232
26,42.3811,0.19142,0.53297,0.77092,0.97971,1,0.99038,0.98286,0.17957,0.37312,0.75251,0.000250075,0.000250075,0.000250075
27,43.7975,0.19269,0.5355,0.75381,0.98349,1,0.9907,0.98294,0.18255,0.37455,0.75067,0.000202918,0.000202918,0.000202918
28,45.3613,0.18825,0.5225,0.77494,0.98523,1,0.99145,0.9836,0.16533,0.35053,0.74955,0.000155761,0.000155761,0.000155761
