epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16638,0.63372,3.27328,0.94169,0.01095,0.96667,0.43089,0.40249,0.36546,2.95366,0.80734,8.574e-05,8.574e-05,8.574e-05
2,4.80706,0.49249,2.3653,0.87406,0.01056,1,0.5736,0.52455,0.40414,2.51533,0.79263,0.00017964,0.00017964,0.00017964
3,6.45215,0.47946,1.42294,0.87177,0.94526,0.42515,0.72331,0.64566,0.4484,2.11073,0.8004,0.000266937,0.000266937,0.000266937
4,8.01056,0.46188,1.02254,0.85008,0.9501,0.61211,0.92075,0.8344,0.42728,1.90705,0.79661,0.000347633,0.000347633,0.000347633
5,9.5961,0.40169,0.91848,0.84252,0.9572,0.6,0.92695,0.84689,0.40176,1.81636,0.79393,0.000421726,0.000421726,0.000421726
6,11.0208,0.36999,0.73236,0.8241,0.96932,0.64869,0.95445,0.90355,0.36179,1.75575,0.79119,0.000489218,0.000489218,0.000489218
7,12.4838,0.3917,0.70021,0.83476,0.96978,0.76645,0.97145,0.91034,0.38664,1.61239,0.79261,0.000550108,0.000550108,0.000550108
8,13.8675,0.41776,0.69114,0.84547,0.9681,0.82516,0.97061,0.87117,0.41461,1.34873,0.78791,0.000604396,0.000604396,0.000604396
9,15.2171,0.36269,0.65309,0.8366,0.96934,0.96667,0.9645,0.90215,0.32825,1.19918,0.77436,0.000652081,0.000652081,0.000652081
10,16.5996,0.37764,0.63048,0.82628,0.96579,0.96667,0.96911,0.90716,0.33465,1.06362,0.76696,0.000693165,0.000693165,0.000693165
11,17.9146,0.37496,0.62391,0.8424,0.96517,0.96667,0.97237,0.91429,0.35883,0.98491,0.77376,0.000727647,0.000727647,0.000727647
12,19.2933,0.38872,0.6248,0.84047,0.97493,0.97667,0.97778,0.9329,0.29011,0.82905,0.76169,0.000755527,0.000755527,0.000755527
13,20.6256,0.36459,0.59808,0.82354,0.97718,0.97649,0.98413,0.93422,0.30302,0.77084,0.76365,0.000776804,0.000776804,0.000776804
14,22.0415,0.35243,0.61758,0.83282,0.97086,0.99646,0.98747,0.96372,0.26287,0.61518,0.75394,0.00079148,0.00079148,0.00079148
15,23.5421,0.32886,0.57073,0.82626,0.98041,0.99073,0.98855,0.96474,0.24592,0.56885,0.75299,0.000768802,0.000768802,0.000768802
16,24.9615,0.32806,0.54134,0.81737,0.97014,1,0.99177,0.98102,0.24522,0.64474,0.75368,0.000721645,0.000721645,0.000721645
17,26.4212,0.30538,0.54797,0.80893,0.97366,0.9988,0.99145,0.98064,0.23281,0.63535,0.75035,0.000674488,0.000674488,0.000674488
18,27.7683,0.30785,0.51915,0.8155,0.98049,0.99046,0.99038,0.98162,0.22079,0.52809,0.74978,0.000627331,0.000627331,0.000627331
19,29.2316,0.27737,0.55747,0.80657,0.97379,0.99539,0.98898,0.98025,0.20335,0.4282,0.74881,0.000580174,0.000580174,0.000580174
20,33.3702,0.2845,0.48856,0.81157,0.97211,0.99863,0.98962,0.97638,0.19984,0.39308,0.74733,0.000533017,0.000533017,0.000533017
21,35.5005,0.21073,0.57651,0.78893,0.97098,1,0.99113,0.97831,0.19359,0.45986,0.74854,0.00048586,0.00048586,0.00048586
22,36.8929,0.2184,0.61423,0.7661,0.97524,0.99847,0.9893,0.97559,0.19362,0.52806,0.74793,0.000438703,0.000438703,0.000438703
23,38.2184,0.21354,0.56806,0.76543,0.97789,0.99894,0.98715,0.97358,0.19904,0.39584,0.74916,0.000391546,0.000391546,0.000391546
24,39.4996,0.20621,0.56597,0.76924,0.97908,0.99893,0.98747,0.97592,0.19743,0.36978,0.74817,0.000344389,0.000344389,0.000344389
25,40.7687,0.19656,0.51453,0.7612,0.97924,0.99923,0.98747,0.97401,0.19546,0.3858,0.74765,0.000297232,0.000297232,0.000297232
26,42.0668,0.17562,0.51677,0.76961,0.97966,0.99891,0.9893,0.98125,0.17851,0.3907,0.74794,0.000250075,0.000250075,0.000250075
27,43.3208,0.18443,0.50736,0.7544,0.97745,0.99884,0.98962,0.98201,0.18245,0.35844,0.74785,0.000202918,0.000202918,0.000202918
28,44.9141,0.1797,0.50048,0.77066,0.9791,0.99951,0.98962,0.98294,0.17372,0.33828,0.74651,0.000155761,0.000155761,0.000155761
29,46.3734,0.17234,0.48965,0.75306,0.97942,1,0.98962,0.98284,0.16558,0.33185,0.74577,0.000108604,0.000108604,0.000108604
30,47.7279,0.153,0.4801,0.76724,0.98107,1,0.98962,0.98276,0.15648,0.31669,0.74595,6.1447e-05,6.1447e-05,6.1447e-05
