epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52072,0.62484,3.26656,0.93848,0.01065,0.97778,0.48587,0.44461,0.38972,2.89977,0.80525,8.574e-05,8.574e-05,8.574e-05
2,5.19899,0.50072,2.35396,0.88038,0.01035,1,0.65228,0.58321,0.41717,2.47192,0.79484,0.00017964,0.00017964,0.00017964
3,6.83851,0.4902,1.46362,0.871,0.91015,0.56508,0.73925,0.66606,0.42026,2.25116,0.79586,0.000266937,0.000266937,0.000266937
4,8.61058,0.45363,1.0704,0.84327,0.99332,0.55556,0.93264,0.84977,0.38633,2.04108,0.79408,0.000347633,0.000347633,0.000347633
5,10.157,0.39808,0.91063,0.84295,0.97985,0.63092,0.86313,0.80387,0.38421,1.80441,0.79805,0.000421726,0.000421726,0.000421726
6,11.4104,0.36681,0.71233,0.82422,0.98054,0.62382,0.89873,0.83453,0.40256,1.95351,0.80306,0.000489218,0.000489218,0.000489218
7,12.7458,0.41469,0.71735,0.84449,0.97045,0.63333,0.96571,0.8977,0.36951,1.53683,0.79166,0.000550108,0.000550108,0.000550108
8,14.4893,0.40466,0.66812,0.84873,0.96767,0.66017,0.95975,0.90641,0.33842,1.33771,0.78229,0.000604396,0.000604396,0.000604396
9,15.9195,0.34835,0.65193,0.83658,0.9677,0.70175,0.96209,0.91158,0.34604,1.2505,0.78133,0.000652081,0.000652081,0.000652081
10,17.3378,0.36851,0.65619,0.82567,0.96768,0.84399,0.96236,0.92746,0.28521,1.15851,0.7691,0.000693165,0.000693165,0.000693165
11,18.9425,0.36608,0.63394,0.84823,0.968,0.94521,0.96643,0.92424,0.30664,1.0403,0.7631,0.000727647,0.000727647,0.000727647
12,20.3553,0.36323,0.62933,0.84441,0.96771,0.91801,0.96721,0.94142,0.28308,1.06217,0.76183,0.000755527,0.000755527,0.000755527
13,21.8234,0.35606,0.61184,0.82787,0.96805,0.92204,0.97043,0.94115,0.28054,1.06692,0.76108,0.000776804,0.000776804,0.000776804
14,23.1306,0.32412,0.64085,0.83527,0.97912,0.97544,0.98158,0.95601,0.26385,0.85171,0.75594,0.00079148,0.00079148,0.00079148
15,24.7534,0.33275,0.56912,0.8346,0.96963,0.97712,0.99177,0.98129,0.23389,0.65486,0.74995,0.000768802,0.000768802,0.000768802
16,29.2538,0.30696,0.5299,0.81986,0.96974,0.98187,0.99145,0.97291,0.23856,0.63676,0.75057,0.000721645,0.000721645,0.000721645
17,30.7565,0.29715,0.5392,0.81349,0.97129,0.99805,0.9907,0.97307,0.23511,0.62573,0.75135,0.000674488,0.000674488,0.000674488
18,32.1212,0.31739,0.51299,0.82201,0.96929,0.99626,0.98855,0.9722,0.20461,0.5889,0.74875,0.000627331,0.000627331,0.000627331
19,33.5312,0.27383,0.56019,0.80685,0.96936,0.99809,0.9893,0.97833,0.22268,0.49529,0.74987,0.000580174,0.000580174,0.000580174
20,34.8379,0.3169,0.51107,0.8196,0.97373,0.99977,0.99038,0.97943,0.20378,0.42292,0.74517,0.000533017,0.000533017,0.000533017
21,37.0286,0.21718,0.61259,0.79084,0.97626,1,0.99038,0.98224,0.19723,0.48701,0.74453,0.00048586,0.00048586,0.00048586
22,38.7909,0.22527,0.62308,0.76604,0.97263,0.99805,0.9922,0.98574,0.2116,0.59779,0.74766,0.000438703,0.000438703,0.000438703
23,40.267,0.22934,0.59656,0.7679,0.97857,0.99988,0.98855,0.98021,0.21107,0.45348,0.74836,0.000391546,0.000391546,0.000391546
24,41.7069,0.21983,0.56786,0.77322,0.97985,0.99951,0.9864,0.97069,0.21212,0.38553,0.74993,0.000344389,0.000344389,0.000344389
25,43.0359,0.20295,0.5224,0.76495,0.98053,0.99997,0.9864,0.97318,0.20507,0.371,0.74937,0.000297232,0.000297232,0.000297232
26,44.3971,0.19214,0.5127,0.77596,0.97462,0.99882,0.99113,0.98549,0.17905,0.36258,0.74483,0.000250075,0.000250075,0.000250075
27,45.8685,0.18828,0.50424,0.75816,0.97175,1,0.99038,0.98474,0.18463,0.36919,0.74321,0.000202918,0.000202918,0.000202918
28,47.1665,0.18557,0.50689,0.77294,0.98111,1,0.99113,0.98429,0.17305,0.35088,0.74188,0.000155761,0.000155761,0.000155761
29,48.6201,0.17541,0.49818,0.75355,0.98351,1,0.99113,0.98574,0.16939,0.34838,0.74148,0.000108604,0.000108604,0.000108604
30,50.0758,0.163,0.50729,0.7725,0.98516,1,0.98962,0.98443,0.16203,0.34282,0.74129,6.1447e-05,6.1447e-05,6.1447e-05
