epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00933,0.59414,3.2422,0.92225,0.01072,0.96667,0.42485,0.40605,0.35367,2.92309,0.80697,8.574e-05,8.574e-05,8.574e-05
2,4.66493,0.47283,2.34796,0.85676,0.01038,0.98889,0.57581,0.52453,0.37325,2.58369,0.79004,0.00017964,0.00017964,0.00017964
3,6.17041,0.47378,1.48875,0.86812,0.98571,0.31388,0.70168,0.63963,0.42667,2.17635,0.79923,0.000266937,0.000266937,0.000266937
4,7.74739,0.45337,1.06224,0.84381,0.97763,0.63324,0.95908,0.88304,0.39971,1.87202,0.79289,0.000347633,0.000347633,0.000347633
5,9.24563,0.40848,0.89899,0.84819,0.95075,0.65228,0.94366,0.87389,0.39769,1.60747,0.79613,0.000421726,0.000421726,0.000421726
6,10.4915,0.3822,0.72094,0.82328,0.97199,0.71213,0.96041,0.90175,0.35476,1.56815,0.7903,0.000489218,0.000489218,0.000489218
7,11.9003,0.40061,0.73514,0.83242,0.96931,0.92998,0.96612,0.89135,0.40049,1.21474,0.79252,0.000550108,0.000550108,0.000550108
8,13.189,0.42427,0.70192,0.84985,0.96716,0.93452,0.96509,0.87269,0.41609,1.13467,0.78963,0.000604396,0.000604396,0.000604396
9,14.5432,0.36337,0.65147,0.84003,0.97848,0.92436,0.98193,0.93788,0.33459,1.15721,0.77594,0.000652081,0.000652081,0.000652081
10,15.9664,0.34972,0.62736,0.82353,0.97847,0.94044,0.98465,0.93386,0.31042,1.06072,0.77103,0.000693165,0.000693165,0.000693165
11,17.3599,0.34129,0.61491,0.84038,0.96831,0.95934,0.98065,0.93994,0.31895,0.9377,0.77062,0.000727647,0.000727647,0.000727647
12,18.8663,0.37041,0.61632,0.83709,0.95337,0.96867,0.98365,0.94724,0.29092,0.88886,0.76382,0.000755527,0.000755527,0.000755527
13,20.3137,0.3405,0.60932,0.82196,0.96891,0.99668,0.98608,0.94797,0.30169,0.8478,0.76774,0.000776804,0.000776804,0.000776804
14,21.767,0.33127,0.61234,0.83681,0.97897,1,0.98608,0.95993,0.27537,0.65772,0.76238,0.00079148,0.00079148,0.00079148
15,26.3909,0.33006,0.56254,0.83101,0.9718,1,0.98898,0.97406,0.24623,0.53134,0.74908,0.000768802,0.000768802,0.000768802
16,27.8533,0.32546,0.53461,0.82186,0.9735,0.9982,0.98962,0.96575,0.22414,0.55346,0.74333,0.000721645,0.000721645,0.000721645
17,29.239,0.31423,0.54648,0.81682,0.98054,0.9929,0.99038,0.96832,0.24647,0.60233,0.74853,0.000674488,0.000674488,0.000674488
18,30.6339,0.31971,0.51858,0.81954,0.97763,1,0.9907,0.97128,0.23874,0.61775,0.75152,0.000627331,0.000627331,0.000627331
19,31.9586,0.29208,0.58114,0.81195,0.98209,1,0.99038,0.97353,0.24388,0.49078,0.75423,0.000580174,0.000580174,0.000580174
20,33.236,0.31474,0.50808,0.81796,0.97845,1,0.99038,0.9783,0.20734,0.41555,0.74892,0.000533017,0.000533017,0.000533017
21,35.449,0.21478,0.59056,0.7881,0.97645,1,0.99038,0.97568,0.20655,0.48426,0.74897,0.00048586,0.00048586,0.00048586
22,36.849,0.22253,0.62912,0.7634,0.97925,1,0.9907,0.97792,0.19997,0.58966,0.75192,0.000438703,0.000438703,0.000438703
23,38.2743,0.21994,0.59376,0.76707,0.97413,1,0.9893,0.97781,0.19989,0.40812,0.75336,0.000391546,0.000391546,0.000391546
24,39.4984,0.20809,0.57299,0.77225,0.97219,0.99865,0.98715,0.9752,0.19855,0.36756,0.7516,0.000344389,0.000344389,0.000344389
25,40.8501,0.19796,0.52194,0.76331,0.97298,0.99862,0.98715,0.97654,0.18693,0.35776,0.75136,0.000297232,0.000297232,0.000297232
26,42.2872,0.18205,0.51928,0.77304,0.9772,0.99929,0.9864,0.97388,0.19021,0.37604,0.75114,0.000250075,0.000250075,0.000250075
27,43.6024,0.19328,0.51669,0.75636,0.97889,1,0.9893,0.97592,0.19298,0.38432,0.74945,0.000202918,0.000202918,0.000202918
28,44.9166,0.19057,0.51306,0.77435,0.978,1,0.99038,0.97956,0.17704,0.36456,0.74749,0.000155761,0.000155761,0.000155761
29,46.3967,0.17434,0.50858,0.75376,0.97623,1,0.99038,0.97779,0.17267,0.36067,0.74702,0.000108604,0.000108604,0.000108604
30,47.7502,0.1661,0.51307,0.7721,0.97698,1,0.99005,0.98228,0.1652,0.3506,0.74684,6.1447e-05,6.1447e-05,6.1447e-05
