epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49171,0.58619,3.26302,0.92948,0.01087,0.98889,0.43703,0.40168,0.37781,2.9103,0.81011,8.574e-05,8.574e-05,8.574e-05
2,5.50099,0.46966,2.33196,0.86123,0.01034,1,0.59064,0.54502,0.36926,2.5376,0.79253,0.00017964,0.00017964,0.00017964
3,7.12236,0.47368,1.41646,0.87213,0.95947,0.11618,0.72403,0.64691,0.42714,2.29062,0.79973,0.000266937,0.000266937,0.000266937
4,8.67957,0.4465,1.02625,0.84869,0.97825,0.59193,0.75128,0.70657,0.32922,2.01033,0.79125,0.000347633,0.000347633,0.000347633
5,12.9805,0.37164,0.88718,0.84575,0.97704,0.61156,0.78403,0.72376,0.36198,1.80841,0.79885,0.000421726,0.000421726,0.000421726
6,14.7119,0.37922,0.72588,0.82539,0.97695,0.63024,0.84321,0.80196,0.3645,1.71948,0.79636,0.000489218,0.000489218,0.000489218
7,16.0966,0.39935,0.72834,0.83366,0.96874,0.66172,0.95919,0.89623,0.37619,1.48235,0.79084,0.000550108,0.000550108,0.000550108
8,17.6094,0.4111,0.69902,0.84936,0.97299,0.90273,0.96434,0.90995,0.34285,1.22825,0.77898,0.000604396,0.000604396,0.000604396
9,19.1116,0.35502,0.65254,0.83684,0.96817,0.9176,0.97803,0.93311,0.31084,1.1115,0.76746,0.000652081,0.000652081,0.000652081
10,20.5239,0.35835,0.6413,0.8288,0.95222,0.9326,0.97377,0.91947,0.35852,0.97825,0.77011,0.000693165,0.000693165,0.000693165
11,21.8909,0.36429,0.6224,0.84945,0.94684,0.94478,0.9675,0.94325,0.30522,0.90166,0.7638,0.000727647,0.000727647,0.000727647
12,23.2376,0.3863,0.64666,0.84386,0.98044,0.95953,0.97885,0.90778,0.35849,0.9799,0.77295,0.000755527,0.000755527,0.000755527
13,24.739,0.38686,0.61173,0.83562,0.98121,0.98056,0.98513,0.94421,0.31842,0.95248,0.7735,0.000776804,0.000776804,0.000776804
14,26.1522,0.35696,0.63704,0.83826,0.97876,0.98735,0.98802,0.95526,0.31117,0.84785,0.76903,0.00079148,0.00079148,0.00079148
15,27.5667,0.33841,0.58547,0.83739,0.97703,0.98535,0.98856,0.97384,0.26733,0.79392,0.76055,0.000768802,0.000768802,0.000768802
16,29.1007,0.33705,0.55937,0.82212,0.97667,0.98583,0.98965,0.96623,0.26164,0.81203,0.76018,0.000721645,0.000721645,0.000721645
17,30.5472,0.3243,0.56677,0.81793,0.97761,0.98621,0.9896,0.96169,0.26476,0.79928,0.76001,0.000674488,0.000674488,0.000674488
18,31.7604,0.32244,0.52842,0.82188,0.9785,0.989,0.98747,0.97398,0.23209,0.70515,0.7555,0.000627331,0.000627331,0.000627331
19,33.4275,0.30664,0.57485,0.81323,0.97061,0.99831,0.98898,0.97702,0.22139,0.53962,0.75022,0.000580174,0.000580174,0.000580174
20,34.9848,0.30969,0.51455,0.82349,0.9714,0.99838,0.99253,0.98437,0.20071,0.47168,0.74626,0.000533017,0.000533017,0.000533017
21,37.3081,0.21821,0.5932,0.7919,0.97194,0.99776,0.99145,0.98024,0.20574,0.56073,0.7482,0.00048586,0.00048586,0.00048586
22,38.6213,0.22097,0.62625,0.77,0.98107,0.98834,0.98804,0.97939,0.21502,0.60381,0.74912,0.000438703,0.000438703,0.000438703
23,40.0068,0.22178,0.5811,0.76505,0.97909,0.98873,0.98776,0.97936,0.19311,0.45798,0.74844,0.000391546,0.000391546,0.000391546
24,41.2844,0.21229,0.5762,0.77366,0.97958,0.99011,0.98715,0.98004,0.20008,0.41213,0.74756,0.000344389,0.000344389,0.000344389
25,42.5702,0.20465,0.52071,0.76314,0.98251,0.98995,0.98823,0.98216,0.18832,0.40707,0.74505,0.000297232,0.000297232,0.000297232
26,43.9333,0.18756,0.53184,0.77113,0.97631,0.99856,0.98962,0.98107,0.17916,0.37653,0.74458,0.000250075,0.000250075,0.000250075
27,48.2446,0.18557,0.52064,0.75583,0.98052,0.99876,0.98962,0.97929,0.17767,0.35404,0.74413,0.000202918,0.000202918,0.000202918
28,49.5055,0.18937,0.50817,0.77351,0.98233,0.99976,0.9893,0.97822,0.17023,0.33819,0.7423,0.000155761,0.000155761,0.000155761
29,50.7596,0.16456,0.49173,0.75253,0.98204,1,0.98962,0.98026,0.16652,0.33719,0.74197,0.000108604,0.000108604,0.000108604
30,51.9863,0.16495,0.49234,0.76948,0.98235,1,0.98855,0.97801,0.16026,0.33273,0.74154,6.1447e-05,6.1447e-05,6.1447e-05
